n               h               x               v              v^              S*           v_fin               u             err           mul_s           div_s               
0            0.01               0               1               0               0               0               0               0               0               0
1            0.01            0.01       1.0100995       1.0101001   8.3919381e-07       1.0100995               0               0               0               0
2            0.01            0.02       1.0204011       1.0204017   8.4644895e-07       1.0204011               0               0               0               0
3            0.01            0.03        1.030907       1.0309076   8.5435672e-07        1.030907               0               0               0               0
4            0.01            0.04       1.0416196       1.0416202   8.6295796e-07       1.0416196               0               0               0               0
5            0.01            0.05       1.0525416       1.0525422   8.7229633e-07       1.0525416               0               0               0               0
6            0.01            0.06       1.0636757       1.0636764   8.8241847e-07       1.0636757               0               0               0               0
7            0.01            0.07        1.075025       1.0750256   8.9337432e-07        1.075025               0               0               0               0
8            0.01            0.08       1.0865926       1.0865933   9.0521733e-07       1.0865926               0               0               0               0
9            0.01            0.09        1.098382       1.0983827   9.1800477e-07        1.098382               0               0               0               0
10            0.01             0.1       1.1103969       1.1103976   9.3179802e-07       1.1103969               0               0               0               0
11            0.01            0.11       1.1226411       1.1226418   9.4666294e-07       1.1226411               0               0               0               0
12            0.01            0.12       1.1351189       1.1351196   9.6267026e-07       1.1351189               0               0               0               0
13            0.01            0.13       1.1478346       1.1478354   9.7989591e-07       1.1478346               0               0               0               0
14            0.01            0.14        1.160793       1.1607938   9.9842156e-07        1.160793               0               0               0               0
15            0.01            0.15       1.1739992       1.1739999   1.0183351e-06       1.1739992               0               0               0               0
16            0.01            0.16       1.1874583       1.1874591    1.039731e-06       1.1874583               0               0               0               0
17            0.01            0.17       1.2011762        1.201177   1.0627114e-06       1.2011762               0               0               0               0
18            0.01            0.18       1.2151587       1.2151595   1.0873859e-06       1.2151587               0               0               0               0
19            0.01            0.19       1.2294124       1.2294132   1.1138733e-06       1.2294124               0               0               0               0
20            0.01             0.2       1.2439439       1.2439448   1.1423016e-06       1.2439439               0               0               0               0
21            0.01            0.21       1.2587605       1.2587614   1.1728092e-06       1.2587605               0               0               0               0
22            0.01            0.22       1.2738697       1.2738706   1.2055458e-06       1.2738697               0               0               0               0
23            0.01            0.23       1.2892797       1.2892807   1.2406735e-06       1.2892797               0               0               0               0
24            0.01            0.24        1.304999           1.305    1.278368e-06        1.304999               0               0               0               0
25            0.01            0.25       1.3210367       1.3210377   1.3188197e-06       1.3210367               0               0               0               0
26            0.01            0.26       1.3374025       1.3374035   1.3622355e-06       1.3374025               0               0               0               0
27            0.01            0.27       1.3541064       1.3541075   1.4088399e-06       1.3541064               0               0               0               0
28            0.01            0.28       1.3711594       1.3711605   1.4588774e-06       1.3711594               0               0               0               0
29            0.01            0.29        1.388573       1.3885741    1.512614e-06        1.388573               0               0               0               0
30            0.01             0.3       1.4063593       1.4063604   1.5703394e-06       1.4063593               0               0               0               0
31            0.01            0.31       1.4245312       1.4245324   1.6323698e-06       1.4245312               0               0               0               0
32            0.01            0.32       1.4431025       1.4431037   1.6990506e-06       1.4431025               0               0               0               0
33            0.01            0.33       1.4620876        1.462089    1.770759e-06       1.4620876               0               0               0               0
34            0.01            0.34       1.4815022       1.4815036    1.847908e-06       1.4815022               0               0               0               0
35            0.01            0.35       1.5013625        1.501364   1.9309503e-06       1.5013625               0               0               0               0
36            0.01            0.36       1.5216861       1.5216876   2.0203821e-06       1.5216861               0               0               0               0
37            0.01            0.37       1.5424914        1.542493   2.1167484e-06       1.5424914               0               0               0               0
38            0.01            0.38       1.5637982       1.5637998   2.2206487e-06       1.5637982               0               0               0               0
39            0.01            0.39       1.5856274       1.5856291   2.3327428e-06       1.5856274               0               0               0               0
40            0.01             0.4       1.6080014       1.6080032   2.4537583e-06       1.6080014               0               0               0               0
41            0.01            0.41        1.630944       1.6309459   2.5844981e-06        1.630944               0               0               0               0
42            0.01            0.42       1.6544804       1.6544825   2.7258502e-06       1.6544804               0               0               0               0
43            0.01            0.43       1.6786379         1.67864   2.8787974e-06       1.6786379               0               0               0               0
44            0.01            0.44        1.703445       1.7034473   3.0444294e-06        1.703445               0               0               0               0
45            0.01            0.45       1.7289328       1.7289352   3.2239564e-06       1.7289328               0               0               0               0
46            0.01            0.46        1.755134       1.7551366   3.4187242e-06        1.755134               0               0               0               0
47            0.01            0.47       1.7820839       1.7820866    3.630232e-06       1.7820839               0               0               0               0
48            0.01            0.48       1.8098201        1.809823    3.860153e-06       1.8098201               0               0               0               0
49            0.01            0.49       1.8383829        1.838386   4.1103573e-06       1.8383829               0               0               0               0
50            0.01             0.5       1.8678157        1.867819   4.3829395e-06       1.8678157               0               0               0               0
51            0.01            0.51       1.8981647       1.8981682   4.6802494e-06       1.8981647               0               0               0               0
52            0.01            0.52         1.92948       1.9294837   5.0049287e-06         1.92948               0               0               0               0
53            0.01            0.53       1.9618149       1.9618189   5.3599529e-06       1.9618149               0               0               0               0
54            0.01            0.54       1.9952273       1.9952316   5.7486806e-06       1.9952273               0               0               0               0
55            0.01            0.55       2.0297794        2.029784   6.1749113e-06       2.0297794               0               0               0               0
56            0.01            0.56        2.065538        2.065543   6.6429522e-06        2.065538               0               0               0               0
57            0.01            0.57       2.1025758       2.1025812   7.1576979e-06       2.1025758               0               0               0               0
58            0.01            0.58       2.1409711       2.1409769   7.7247238e-06       2.1409711               0               0               0               0
59            0.01            0.59       2.1808086       2.1808149   8.3503969e-06       2.1808086               0               0               0               0
60            0.01             0.6       2.2221805       2.2221873   9.0420066e-06       2.2221805               0               0               0               0
61            0.01            0.61       2.2651866       2.2651939   9.8079218e-06       2.2651866               0               0               0               0
62            0.01            0.62       2.3099356       2.3099436   1.0657777e-05       2.3099356               0               0               0               0
63            0.01            0.63        2.356546       2.3565547   1.1602698e-05        2.356546               0               0               0               0
64            0.01            0.64        2.405147       2.4051565   1.2655569e-05        2.405147               0               0               0               0
65            0.01            0.65         2.45588       2.4558903   1.3831362e-05         2.45588               0               0               0               0
66            0.01            0.66       2.5088996       2.5089109   1.5147532e-05       2.5088996               0               0               0               0
67            0.01            0.67       2.5643757       2.5643882     1.66245e-05       2.5643757               0               0               0               0
68            0.01            0.68       2.6224952       2.6225089   1.8286243e-05       2.6224952               0               0               0               0
69            0.01            0.69       2.6834638       2.6834789   2.0161027e-05       2.6834638               0               0               0               0
70            0.01             0.7       2.7475089       2.7475257   2.2282302e-05       2.7475089               0               0               0               0
71            0.01            0.71       2.8148824       2.8149009   2.4689822e-05       2.8148824               0               0               0               0
72            0.01            0.72       2.8858635       2.8858841    2.743105e-05       2.8858635               0               0               0               0
73            0.01            0.73       2.9607633       2.9607863    3.056291e-05       2.9607633               0               0               0               0
74            0.01            0.74       3.0399291       3.0399547   3.4154014e-05       3.0399291               0               0               0               0
75            0.01            0.75       3.1237493        3.123778   3.8287495e-05       3.1237493               0               0               0               0
76            0.01            0.76       3.2126603       3.2126926   4.3064637e-05       3.2126603               0               0               0               0
77            0.01            0.77       3.3071539       3.3071903   4.8609551e-05       3.3071539               0               0               0               0
78            0.01            0.78        3.407786       3.4078274   5.5075272e-05        3.407786               0               0               0               0
79            0.01            0.79        3.515188       3.5152349   6.2651736e-05        3.515188               0               0               0               0
80            0.01             0.8       3.6300789       3.6301326   7.1576329e-05       3.6300789               0               0               0               0
81            0.01            0.81       3.7532823       3.7533439   8.2147961e-05       3.7532823               0               0               0               0
82            0.01            0.82        3.885745        3.885816   9.4746014e-05        3.885745               0               0               0               0
83            0.01            0.83       4.0285612       4.0286436   0.00010985613       4.0285612               0               0               0               0
84            0.01            0.84       4.1830026       4.1830987   0.00012810566       4.1830026               0               0               0               0
85            0.01            0.85        4.350555       4.3506677   0.00015031308        4.350555               0               0               0               0
86            0.01            0.86       4.5329659        4.533099   0.00017755756       4.5329659               0               0               0               0
87            0.01            0.87       4.7323042       4.7324626    0.0002112785       4.7323042               0               0               0               0
88            0.01            0.88       4.9510377       4.9512278   0.00025341986       4.9510377               0               0               0               0
89            0.01            0.89       5.1921337       5.1923636   0.00030664305       5.1921337               0               0               0               0
90            0.01             0.9       5.4591917       5.4594726   0.00037464637       5.4591917               0               0               0               0
91            0.01            0.91        5.756621        5.756968   0.00046265381        5.756621               0               0               0               0
92            0.01            0.92       6.0898817       6.0903154   0.00057817906       6.0898817               0               0               0               0
93            0.01            0.93       6.4658161       6.4663653   0.00073224805       6.4658161               0               0               0               0
94            0.01            0.94        6.893115       6.8938211   0.00094140717        6.893115               0               0               0               0
95            0.01            0.95       7.3829853       7.3839087      0.00123112       7.3829853               0               0               0               0
