n	h	x	v	v^	S*	v_fin	u	err	mul_s	div_s
0	0.03	1.03	0.96	0.919	-0.0546	0.96	0	0	0	0	
1	0.03	1.06	0.913	0.865	-0.0634	0.913	0	0	0	0	
2	0.03	1.09	0.859	0.805	-0.0726	0.859	0	0	0	0	
3	0.03	1.12	0.798	0.737	-0.0822	0.798	0	0	0	0	
4	0.03	1.15	0.73	0.661	-0.092	0.73	0	0	0	0	
5	0.03	1.18	0.655	0.578	-0.102	0.655	0	0	0	0	
6	0.03	1.21	0.572	0.488	-0.112	0.572	0	0	0	0	
7	0.03	1.24	0.481	0.39	-0.121	0.481	0	0	0	0	
8	0.03	1.27	0.383	0.285	-0.131	0.383	0	0	0	0	
9	0.03	1.3	0.278	0.173	-0.139	0.278	0	0	0	0	
10	0.03	1.33	0.166	0.0552	-0.147	0.166	0	0	0	0	
11	0.03	1.36	0.0478	-0.0681	-0.155	0.0478	0	0	0	0	
12	0.03	1.39	-0.0757	-0.196	-0.161	-0.0757	0	0	0	0	
13	0.03	1.42	-0.204	-0.328	-0.165	-0.204	0	0	0	0	
14	0.03	1.45	-0.336	-0.462	-0.169	-0.336	0	0	0	0	
15	0.03	1.48	-0.47	-0.598	-0.171	-0.47	0	0	0	0	
16	0.03	1.51	-0.606	-0.735	-0.172	-0.606	0	0	0	0	
17	0.03	1.54	-0.743	-0.872	-0.171	-0.743	0	0	0	0	
18	0.03	1.57	-0.88	-1.01	-0.169	-0.88	0	0	0	0	
19	0.03	1.6	-1.02	-1.14	-0.166	-1.02	0	0	0	0	
20	0.03	1.63	-1.15	-1.27	-0.162	-1.15	0	0	0	0	
21	0.03	1.66	-1.28	-1.4	-0.157	-1.28	0	0	0	0	
22	0.03	1.69	-1.4	-1.52	-0.151	-1.4	0	0	0	0	
23	0.03	1.72	-1.53	-1.64	-0.145	-1.53	0	0	0	0	
24	0.03	1.75	-1.64	-1.75	-0.138	-1.64	0	0	0	0	
25	0.03	1.78	-1.76	-1.86	-0.131	-1.76	0	0	0	0	
26	0.03	1.81	-1.87	-1.96	-0.125	-1.87	0	0	0	0	
27	0.03	1.84	-1.97	-2.06	-0.118	-1.97	0	0	0	0	
28	0.03	1.87	-2.07	-2.15	-0.111	-2.07	0	0	0	0	
29	0.03	1.9	-2.16	-2.24	-0.105	-2.16	0	0	0	0	
30	0.03	1.93	-2.25	-2.32	-0.0986	-2.25	0	0	0	0	
31	0.03	1.96	-2.33	-2.4	-0.0929	-2.33	0	0	0	0	
32	0.03	1.99	-2.41	-2.48	-0.0876	-2.41	0	0	0	0	
33	0.03	2	-2.48	-2.54	-0.0775	-2.48	0	0	0	0	
