------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
0            0            1            1            3            0            0            0            0
1         0.02            1        1.059       2.9054        1.059       2.9054   4.2727e-08            0            0
2         0.02         1.02       1.1163       2.8205       1.1163       2.8205   3.5094e-08            0            0
3         0.02         1.04       1.1719       2.7443       1.1719       2.7443   2.9204e-08            0            0
4         0.02         1.06       1.2261       2.6756       1.2261       2.6756   2.4593e-08            0            0
5         0.02         1.08        1.279       2.6137        1.279       2.6137   2.0934e-08            0            0
6         0.02          1.1       1.3307       2.5578       1.3307       2.5578   1.7996e-08            0            0
7         0.02         1.12       1.3813       2.5074       1.3813       2.5074   1.5609e-08            1            0
8         0.04         1.16       1.4798       2.4205       1.4798       2.4205   4.1601e-07            0            0
9         0.04          1.2       1.5752       2.3496       1.5752       2.3496   3.2811e-07            0            0
10         0.04         1.24        1.668        2.292        1.668        2.292   2.6489e-07            0            0
11         0.04         1.28       1.7587       2.2455       1.7587       2.2455   2.1807e-07            0            0
12         0.04         1.32       1.8477       2.2085       1.8477       2.2085    1.825e-07            0            0
13         0.04         1.36       1.9355       2.1794       1.9355       2.1794   1.5484e-07            0            0
14         0.04          1.4       2.0222       2.1573       2.0222       2.1573   1.3287e-07            0            0
15         0.04         1.44       2.1081       2.1412       2.1081       2.1412   1.1508e-07            0            0
16         0.04         1.48       2.1936       2.1303       2.1936       2.1303   1.0043e-07            0            0
17         0.04         1.52       2.2786       2.1239       2.2786       2.1239   8.8163e-08            0            0
18         0.04         1.56       2.3635       2.1214       2.3635       2.1214   7.7738e-08            0            0
19         0.04          1.6       2.4484       2.1225       2.4484       2.1225   6.8759e-08            0            0
20         0.04         1.64       2.5334       2.1266       2.5334       2.1266   6.0928e-08            0            0
21         0.04         1.68       2.6185       2.1334       2.6185       2.1334   5.4023e-08            0            0
22         0.04         1.72       2.7041       2.1425       2.7041       2.1425   4.7873e-08            0            0
23         0.04         1.76         2.79       2.1538         2.79       2.1538   4.2348e-08            0            0
24         0.04          1.8       2.8764       2.1668       2.8764       2.1668   3.7345e-08            0            0
25         0.04         1.84       2.9633       2.1815       2.9633       2.1815   3.2786e-08            0            0
26         0.04         1.88       3.0509       2.1976       3.0509       2.1976   2.8608e-08            0            0
27         0.04         1.92       3.1392        2.215       3.1392        2.215   2.4762e-08            0            0
28         0.04         1.96       3.2281       2.2334       3.2281       2.2334   2.1209e-08            0            0
29         0.04            2       3.3179       2.2528       3.3179       2.2528   1.7918e-08            0            0
30         0.04         2.04       3.4084        2.273       3.4084        2.273   1.4862e-08            1            0
31         0.08         2.12       3.5919       2.3155       3.5919       2.3155    3.813e-07            0            0
32         0.08          2.2       3.7789       2.3601       3.7789       2.3601   2.1638e-07            0            0
33         0.08         2.28       3.9696       2.4064       3.9696       2.4064   7.3374e-08            0            0
34         0.08         2.36        4.164       2.4537        4.164       2.4537   5.0399e-08            0            0
35         0.08         2.44       4.3622       2.5018       4.3622       2.5018   1.5721e-07            0            0
36         0.08         2.52       4.5643       2.5504       4.5643       2.5504   2.4909e-07            0            0
37         0.08          2.6       4.7703       2.5993       4.7703       2.5993   3.2792e-07            0            0
38         0.08         2.68       4.9802       2.6484       4.9802       2.6484   3.9546e-07            0            0
39         0.08         2.76        5.194       2.6976        5.194       2.6976   4.5338e-07            0            0
40         0.08         2.84       5.4118       2.7467       5.4118       2.7467   5.0321e-07            0            0
41         0.08         2.92       5.6335       2.7958       5.6335       2.7958   5.4633e-07            0            0
42         0.08            3       5.8591       2.8448       5.8591       2.8448   5.8399e-07            0            0
43         0.08         3.08       6.0886       2.8936       6.0886       2.8936   6.1728e-07            0            0
44         0.08         3.16       6.3221       2.9423       6.3221       2.9423   6.4714e-07            0            0
45         0.08         3.24       6.5594       2.9908       6.5594       2.9908   6.7436e-07            0            0
46         0.08         3.32       6.8006       3.0391       6.8006       3.0391   6.9959e-07            0            0
47         0.08          3.4       7.0457       3.0873       7.0457       3.0873   7.2336e-07            0            0
48         0.08         3.48       7.2946       3.1354       7.2946       3.1354    7.461e-07            0            0
49         0.08         3.56       7.5473       3.1832       7.5473       3.1832   7.6816e-07            0            0
50         0.08         3.64       7.8039        3.231       7.8039        3.231   7.8978e-07            0            0
51         0.08         3.72       8.0643       3.2785       8.0643       3.2785   8.1117e-07            0            0
52         0.08          3.8       8.3284        3.326       8.3284        3.326   8.3247e-07            0            0
53         0.08         3.88       8.5964       3.3733       8.5964       3.3733   8.5381e-07            0            0
54         0.08         3.96       8.8682       3.4205       8.8682       3.4205   8.7526e-07            0            0
55         0.08         4.04       9.1437       3.4675       9.1437       3.4675   8.9687e-07            0            0
56         0.08         4.12        9.423       3.5145        9.423       3.5145   9.1869e-07            0            0
57         0.08          4.2        9.706       3.5613        9.706       3.5613   9.4075e-07            0            0
58         0.08         4.28       9.9928        3.608       9.9928        3.608   9.6306e-07            0            0
59         0.08         4.36       10.283       3.6546       10.283       3.6546   9.8564e-07            0            0
60         0.08         4.44       10.578       3.7011       10.578       3.7011   1.0085e-06            0            0
61         0.08         4.52       10.875       3.7475       10.875       3.7475   1.0316e-06            0            0
62         0.08          4.6       11.177       3.7938       11.177       3.7938    1.055e-06            0            0
63         0.08         4.68       11.482         3.84       11.482         3.84   1.0787e-06            0            0
64         0.08         4.76       11.791       3.8861       11.791       3.8861   1.1027e-06            0            0
65         0.08         4.84       12.104       3.9321       12.104       3.9321    1.127e-06            0            0
66         0.08         4.92       12.421       3.9781       12.421       3.9781   1.1515e-06            0            0
67         0.08            5       12.741       4.0239       12.741       4.0239   1.1763e-06            0            0
68         0.08         5.08       13.064       4.0697       13.064       4.0697   1.2014e-06            0            0
